model,best_params,accuracy,training_time_sec
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9874213836477987,12.97
KNN,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.4968553459119497,6.79
