model_a,model_b,condition,accuracy_a,accuracy_b,accuracy_diff,bootstrap_p_value
SVM,SGD,original,0.9685534591194969,0.9937106918238994,-0.02515723270440251,0.022
SVM,RandomForest,original,0.9685534591194969,0.9874213836477987,-0.018867924528301883,0.104
SVM,KNN,original,0.9685534591194969,0.4968553459119497,0.4716981132075472,0.0
SGD,RandomForest,original,0.9937106918238994,0.9874213836477987,0.0062893081761006275,0.774
SGD,KNN,original,0.9937106918238994,0.4968553459119497,0.4968553459119497,0.0
RandomForest,KNN,original,0.9874213836477987,0.4968553459119497,0.49056603773584906,0.0
